S8_1_StartDate,NHPDPropertyID,CBSACode,CensusTract,ActiveSubsidies,TotalInconclusiveSubsidies,TotalInactiveSubsidies,TotalUnits,S8_1_AssistedUnits,S8_1_RentToFMR,S8_2_AssistedUnits,S8_2_RentToFMR,S8_Total_AssistingUnits
1978-12-31,8644077,236580.0,302626530307.0,9,0,6,514,428.0,740.09,0.0,0.0,428.0
1979-12-31,16988947,387500.0,446771050628.0,23,2,16,2026,2103.0,1765.1400000000003,95.0,96.31,2198.0
1980-12-31,76777294,2009660.0,2284045383571.0,90,22,17,6129,6025.0,7159.250000000002,140.0,269.73,6165.0
1981-12-31,83534439,2148710.0,2808959284871.0,107,9,22,6737,5232.0,7729.329999999999,95.0,111.82,5327.0
1982-12-31,53297139,1366480.0,1552895018948.0,61,11,30,3726,3558.0,4928.48,14.0,166.85,3572.0
1983-12-31,38077444,1050400.0,950450795098.0,65,21,13,3370,3032.0,3690.0600000000004,164.0,150.59,3196.0
1984-12-31,18910560,457680.0,392887721302.0,13,4,13,656,554.0,1500.0199999999998,0.0,0.0,554.0
1985-12-31,6354910,150280.0,170318528927.0,8,0,4,207,161.0,466.44000000000005,20.0,105.13,181.0
1986-12-31,3193168,115280.0,95177559102.0,5,0,1,126,125.0,294.94,0.0,0.0,125.0
1987-12-31,1069207,23700.0,35031943700.0,0,0,2,12,12.0,67.59,0.0,0.0,12.0
1988-12-31,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1989-12-31,1052740,47900.0,24031703202.0,0,1,1,25,25.0,25.91,0.0,0.0,25.0
1990-12-31,1070096,10580.0,36001014606.0,1,0,1,7,7.0,64.47,0.0,0.0,7.0
1991-12-31,6394425,200320.0,159479429515.0,6,2,12,553,407.0,597.6,73.0,170.3,480.0
1992-12-31,4186896,86620.0,82182548302.0,4,0,2,147,147.0,285.15,0.0,0.0,147.0
1993-12-31,3188770,49760.0,89180931400.0,1,0,4,515,86.0,206.0,0.0,0.0,86.0
1994-12-31,5366107,160180.0,185819195001.0,5,1,7,627,264.0,331.46000000000004,0.0,0.0,264.0
1995-12-31,4259058,38060.0,123540794502.0,5,1,2,150,113.0,251.36,31.0,108.9,144.0
1996-12-31,1067762,35620.0,34023008206.0,0,1,0,6,5.0,23.15,0.0,0.0,5.0
1997-12-31,5415205,81940.0,214337138206.0,3,3,0,96,93.0,344.48,14.0,92.64,107.0
1998-12-31,1035844,35840.0,12115000101.0,1,0,2,210,0.0,0.0,0.0,0.0,0.0
1999-12-31,1059501,27900.0,29097010900.0,2,0,2,80,79.0,98.54,0.0,0.0,79.0
2000-12-31,18870676,436080.0,424726189463.0,19,6,14,1610,1018.0,1617.55,29.0,147.26,1047.0
2001-12-31,254933037,6285110.0,6873898151762.0,385,74,208,16736,14945.0,24046.620000000003,1032.0,1339.18,15977.0
2002-12-31,247131972,5868760.0,6338694590271.0,417,145,134,18466,16797.0,24649.75000000002,875.0,1119.9699999999998,17672.0
2003-12-31,308433500,7102040.0,8050744030122.0,581,164,189,24898,21584.0,31210.309999999994,1396.0,1749.68,22980.0
2004-12-31,359289562,9026870.0,9858281805821.0,665,187,252,27569,24229.0,37167.749999999985,890.0,1760.11,25119.0
2005-12-31,325102760,8392660.0,9343639097782.0,580,114,258,28289,23906.0,33535.939999999995,939.0,1714.92,24845.0
2006-12-31,326641211,8137340.0,8448777478515.0,589,93,253,26308,23210.0,34167.2,1201.0,2025.0700000000002,24411.0
2007-12-31,299146586,7958910.0,8317870447350.0,521,69,234,25672,21775.0,30989.31000000001,749.0,1471.31,22524.0
2008-12-31,307344623,7851680.0,8484313983604.0,581,51,251,26453,23109.0,31742.019999999975,1090.0,2628.46,24199.0
2009-12-31,499344894,12623660.0,13975556402063.0,811,59,430,43916,35019.0,51447.15999999997,1777.0,3242.340000000001,36796.0
2010-12-31,695508643,17347770.0,20303498808960.0,1114,69,491,58780,50907.0,72522.57999999996,2729.0,4915.220000000001,53636.0
2011-12-31,1124871654,28768909.0,31126694839681.0,1971,62,670,80782,70576.0,118817.16999999995,3700.0,7805.909999999997,74276.0
2012-12-31,1122514412,28233480.0,32345267508486.0,1993,80,537,78752,67914.0,122666.62999999993,3132.0,5941.099999999999,71046.0
2013-12-31,1127398167,29545450.0,30445355758760.0,2044,106,703,88859,76551.0,120670.88000000009,4348.0,6904.93,80899.0
2014-12-31,1284472950,32648480.0,34239928875694.0,2264,101,974,111960,92706.0,134118.02000000002,5653.0,9608.850000000006,98359.0
2015-12-31,1355910218,34156050.0,36445327403173.0,2264,146,847,109850,91081.0,139039.44000000006,5187.0,9021.109999999999,96268.0
2016-12-31,1592173778,40454870.0,43053438572147.0,2659,105,1082,129477,105046.0,157636.30999999985,7073.0,11095.179999999997,112119.0
2017-12-31,1568599502,39925940.0,43911479943610.0,2558,114,1095,131787,109772.0,158996.58000000034,9452.0,10972.470000000003,119224.0
2018-12-31,1724041471,44684840.0,49467971516175.0,2638,138,1004,148729,115331.0,176511.5100000001,7859.0,10354.599999999997,123190.0
2019-12-31,3350925153,88456770.0,93393643850648.0,4249,462,1373,198518,160528.0,311605.30000000016,8085.0,14708.900000000007,168613.0
2020-12-31,5870762624,155996880.0,163200845691063.0,7407,138,1200,241587,216570.0,516139.9300000013,5583.0,13575.080000000002,222153.0
