,Year_End,LIHTC,Section_8,FHA
0,1978-12-31,0.0,13053.0,551035.0
1,1979-12-31,0.0,15184.0,595389.0
2,1980-12-31,0.0,21264.0,636720.0
3,1981-12-31,0.0,26853.0,690020.0
4,1982-12-31,0.0,30419.0,739727.0
5,1983-12-31,0.0,33497.0,779133.0
6,1984-12-31,0.0,34244.0,817411.0
7,1985-12-31,0.0,34453.0,827712.0
8,1986-12-31,0.0,34578.0,835379.0
9,1987-12-31,17338.0,34590.0,845922.0
10,1988-12-31,55884.0,34590.0,856239.0
11,1989-12-31,106771.0,34615.0,867620.0
12,1990-12-31,163336.0,34622.0,871313.0
13,1991-12-31,223084.0,35140.0,878006.0
14,1992-12-31,272751.0,35336.0,882573.0
15,1993-12-31,336091.0,35422.0,887809.0
16,1994-12-31,408342.0,35686.0,896737.0
17,1995-12-31,503142.0,35799.0,925984.0
18,1996-12-31,604661.0,35804.0,935290.0
19,1997-12-31,699486.0,35897.0,947096.0
20,1998-12-31,798822.0,35931.0,963253.0
21,1999-12-31,921431.0,35900.0,981202.0
22,2000-12-31,1029959.0,36910.0,1002463.0
23,2001-12-31,1142296.0,52446.0,1030964.0
24,2002-12-31,1245112.0,69565.0,1073766.0
25,2003-12-31,1346241.0,92393.0,1130929.0
26,2004-12-31,1440559.0,117541.0,1194036.0
27,2005-12-31,1545900.0,142683.0,1240043.0
28,2006-12-31,1666841.0,166652.0,1287194.0
29,2007-12-31,1804918.0,188542.0,1324754.0
30,2008-12-31,1918766.0,211844.0,1344057.0
31,2009-12-31,2007281.0,249306.0,1340640.0
32,2010-12-31,2095354.0,301309.0,1331882.0
33,2011-12-31,2215779.0,370778.0,1320486.0
34,2012-12-31,2314130.0,438018.0,1304331.0
35,2013-12-31,2392847.0,516008.0,1333436.0
36,2014-12-31,2468611.0,611261.0,1325541.0
37,2015-12-31,2570400.0,701971.0,1343726.0
38,2016-12-31,2650929.0,806246.0,1376167.0
39,2017-12-31,2730125.0,916766.0,1432067.0
40,2018-12-31,2782851.0,1037286.0,1457599.0
41,2019-12-31,2801103.0,1201904.0,1458095.0
42,2020-12-31,2792796.0,1406170.0,1442888.0
43,2021-12-31,2754326.0,1346480.0,1393445.0
44,2022-12-31,2704782.0,1314686.0,1335345.0
45,2023-12-31,2641859.0,1281544.0,1280584.0
