,State_name,Contiguous_Count,Percentage
California,879,9.0,0.010238907849829351
Texas,628,,
New York,514,17.0,0.033073929961089495
Florida,427,,
Illinois,327,,
Ohio,320,5.0,0.015625
Pennsylvania,300,11.0,0.03666666666666667
Michigan,288,5.0,0.017361111111111112
Georgia,260,,
North Carolina,252,11.0,0.04365079365079365
Virginia,212,8.0,0.03773584905660377
Tennessee,176,12.0,0.06818181818181818
New Jersey,169,2.0,0.011834319526627219
Arizona,168,9.0,0.05357142857142857
Missouri,161,8.0,0.049689440993788817
Alabama,158,5.0,0.03164556962025317
Indiana,156,3.0,0.019230769230769232
Louisiana,150,5.0,0.03333333333333333
Maryland,149,4.0,0.026845637583892617
Kentucky,144,5.0,0.034722222222222224
Washington,139,7.0,0.050359712230215826
Massachusetts,138,4.0,0.028985507246376812
South Carolina,135,7.0,0.05185185185185185
Minnesota,128,1.0,0.0078125
Colorado,126,10.0,0.07936507936507936
Wisconsin,120,,
Oklahoma,117,5.0,0.042735042735042736
Mississippi,100,6.0,0.06
Oregon,86,6.0,0.06976744186046512
Arkansas,85,2.0,0.023529411764705882
Kansas,74,4.0,0.05405405405405406
Connecticut,72,1.0,0.013888888888888888
New Mexico,63,4.0,0.06349206349206349
Iowa,62,1.0,0.016129032258064516
Nevada,61,1.0,0.01639344262295082
West Virginia,55,3.0,0.05454545454545454
Utah,46,,
Nebraska,44,3.0,0.06818181818181818
Maine,32,2.0,0.0625
Idaho,28,2.0,0.07142857142857142
New Hampshire,27,,
Wyoming,25,1.0,0.04
Rhode Island,25,1.0,0.04
Vermont,25,3.0,0.12
District of Columbia,25,,
Delaware,25,1.0,0.04
Montana,25,,
Alaska,25,2.0,0.08
North Dakota,25,1.0,0.04
Hawaii,25,2.0,0.08
South Dakota,25,2.0,0.08
